AWND,PRCP,TMAX,TMIN,date
2.6,0.0,18.9,11.1,2024-11-01
2.5,0.3,18.9,11.7,2024-11-02
5.0,0.0,25.6,12.2,2024-11-03
2.3,0.0,23.3,12.8,2024-11-04
2.6,0.0,20.6,11.1,2024-11-05
2.0,0.0,25.6,12.8,2024-11-06
3.0,0.0,22.8,9.4,2024-11-07
2.8,0.0,22.8,8.9,2024-11-08
2.2,0.0,22.2,9.4,2024-11-09
2.2,0.0,21.7,10.0,2024-11-10
2.6,0.0,18.9,8.9,2024-11-11
3.6,0.0,21.7,13.3,2024-11-12
3.2,0.0,25.6,12.2,2024-11-13
3.3,0.0,21.1,10.6,2024-11-14
6.2,0.0,17.2,12.2,2024-11-15
3.3,0.0,20.0,8.9,2024-11-16
2.8,0.0,20.6,7.2,2024-11-17
3.0,0.0,18.3,8.3,2024-11-18
2.6,0.0,20.0,10.0,2024-11-19
2.0,0.0,23.3,10.6,2024-11-20
2.1,0.0,22.8,8.9,2024-11-21
2.4,0.0,21.1,8.3,2024-11-22
1.5,0.0,16.1,9.4,2024-11-23
3.4,0.0,16.1,11.7,2024-11-24
2.0,0.0,21.1,10.6,2024-11-25
2.2,0.0,18.9,13.3,2024-11-26
3.0,0.3,18.3,13.3,2024-11-27
2.3,0.0,23.9,12.8,2024-11-28
3.4,0.0,23.3,14.4,2024-11-29
2.5,0.0,26.1,12.2,2024-11-30
2.4,0.0,21.1,11.7,2024-12-01
2.1,0.0,20.0,10.0,2024-12-02
1.7,0.0,18.3,10.0,2024-12-03
2.2,0.0,16.7,11.7,2024-12-04
1.6,0.0,17.2,10.6,2024-12-05
1.7,0.0,17.2,8.9,2024-12-06
2.1,0.0,26.7,9.4,2024-12-07
1.7,0.0,18.3,9.4,2024-12-08
2.6,0.0,16.7,11.7,2024-12-09
2.4,0.0,23.3,8.9,2024-12-10
2.7,0.0,22.2,11.7,2024-12-11
2.2,0.0,15.6,6.7,2024-12-12
2.7,0.0,18.3,9.4,2024-12-13
2.5,0.0,17.8,8.9,2024-12-14
2.4,0.0,18.3,8.9,2024-12-15
2.5,0.0,19.4,8.3,2024-12-16
1.9,0.0,22.2,10.0,2024-12-17
1.7,0.0,28.3,10.6,2024-12-18
2.4,0.0,22.8,9.4,2024-12-19
2.6,0.0,13.9,9.4,2024-12-20
2.5,0.0,16.7,9.4,2024-12-21
1.8,0.0,17.2,10.0,2024-12-22
2.6,0.0,18.3,11.7,2024-12-23
2.6,0.3,15.6,10.6,2024-12-24
2.3,0.0,17.8,10.6,2024-12-25
2.1,0.0,18.3,7.8,2024-12-26
2.0,0.0,16.1,9.4,2024-12-27
2.0,0.0,15.0,11.7,2024-12-28
2.0,0.0,14.4,8.3,2024-12-29
2.7,0.0,16.7,11.1,2024-12-30
2.0,0.0,16.1,9.4,2024-12-31
